MEANING	RULE	Ainu	Alaskan Yupik	Arabic	Balinese	Bezhta	Bora	Chintang	Emai	Even	Hoocąk	Icelandic	Italian	Jakarta Indonesian	Jaminjung	Japanese standard	Mandarin	Mandinka	Mapudungun	Nen	Nǀuu	Russian	Sliammon	Sri Lanka Malay	Xârâcùù	Yaqui	Yoruba	Zenzontepec Chatino
CLIMB	climber	subj.V	NP-abs V.subj	V.subj NP-nom	Ø	NA	Ø (NP-nom)	NA	NA	NP-nom V.subj	act.V	NP-nom & V.subj	V.subj	Ø	NP-abs subj.V	NA	NA	Ø	V.subj	NP-abs & V.subj	Ø	NA	V.sbj	NA	Ø	Ø	Ø	Ø
CLIMB	climbing goal	loc/all/abl	NP-all	NP-acc	Ø	NA	NP-acc	NA	NA	NP-acc	und.V	upp+NP-acc	Ø	Ø	NP-all	NA	NA	LOC	NP+mew	NA	Ø	NA	obl-NP	NA	Ø	NP-loc	Ø	jiʔį̀+NP
COOK	cooked food	NA	NP-abm	NP-acc	NA	NA	NA	NA	NA	NA	und.V	NA	Ø	Ø	NP-abs obj.V	NA	Ø	Ø	V.obj	NP-abs & obj.V	Ø	NA	V.obj	NA	Ø	NP-acc	Ø	NA
COOK	cooker	NA	NP-abs V.subj	V.subj NP-nom	NA	NA	NA	NA	NA	NA	act.V	NA	V.subj	Ø	NP-erg subj.V	NA	Ø	Ø	V.subj	NP-erg & V.subj	Ø	NA	V.sbj	Ø	Ø	Ø	Ø	NA
COUGH	cougher	subj.V	NP-abs V.subj	V.subj NP-nom	Ø	NP-erg	Ø (NP-nom)	NA	NA	NP-nom V.subj	act.V	NP-nom & V.subj	V.subj	Ø	NP-abs subj.V	NA	NA	Ø	V.subj	NP-abs & V.subj	Ø	NA	V.sbj	Ø	Ø	Ø	Ø	NA
COVER	cover	NA	NP-abs V.obj	bi+NP-gen	aji+NP	NA	NP-adl	NA	NA	NP-instr	NA	NP-acc	con+NP	NA	NP-erg/instr	NA	NA	NP+la	NA	NP-abl	nla+NP	NP-ins	NA	NA	ngê+NP	NP-instr	fi+NP	NA
COVER	covered thing	obj.V	NP-abm	NP-acc	Ø	NA	NP-acc	NA	NA	NP-acc	und.V	yfir+NP-acc	Ø	Ø	NP-abs obj.V	NA	NA	Ø	NA	NP-abs & obj.V	Ø	NP-acc	V.obj	NP-acc	Ø	NP-acc	Ø	NA
COVER	coverer	subj.V	NP-rel V.subj	V.subj NP-nom	Ø	NA	Ø (NP-nom)	NA	NA	NP-nom V.subj	act.V	NP-nom & V.subj	V.subj	Ø	NP-erg subj.V	NA	NA	Ø	NA	NP-erg & V.subj	Ø	NP-nom & V.subj	V.sbj	Ø	Ø	Ø	Ø	NA
CRY	crier	NA	NA	V.subj NP-nom	NA	NP-abs & absAgr.V	NA	NA	NA	NA	act.V	NA	V.subj	Ø	NP-abs subj.V	NA	NA	Ø	V.subj	NP-abs & V.subj	Ø	NA	V.sbj	Ø	Ø	Ø	Ø	NA
CUT	cut thing	obj.V	NP-abs V.obj	NP-acc	Ø	NP-abs & absAgr.V	NP-acc	NA	NA	NP-acc	und.V	NP-acc	Ø	Ø	NP-abs obj.V	NA	NA	Ø	V.obj	NP-abs & obj.V	Ø	NA	V.obj	NP-acc	Ø	NP-acc	Ø	jiʔį̀+NP
CUT	cutter	subj.V	NP-rel V.subj	V.subj NP-nom	Ø	NP-erg	Ø (NP-nom)	NA	NA	NP-nom V.subj	act.V	NP-nom & V.subj	V.subj	Ø	NP-erg subj.V	NA	NA	Ø	V.subj	NP-erg & V.subj	Ø	NA	V.sbj	Ø	Ø	Ø	Ø	Ø
CUT	cutting instrument	instr	NP-perl	bi+NP-gen	aji+NP	NP-instr	NP-instr	NA	NA	NP-instr	NA	með+NP-dat	con+NP	pake+NP	NP-erg/instr	NA	NA	NP+la	NP+mew	NP-abl	NA	NA	NA	NA	ngê+NP	NA	NA	lóʔò+NP
DIE	dieer	subj.V	NP-abs V.subj	V.subj NP-nom	Ø	NP-abs & absAgr.V	Ø (NP-nom)	NA	NA	NP-nom V.subj	und.V	NP-nom & V.subj	V.subj	Ø	NP-abs subj.V	NA	NA	Ø	V.subj	NP-abs & obj.V	Ø	NA	V.sbj	Ø	Ø	Ø	Ø	Ø
DIG	digger	NA	NA	NA	NA	NA	NA	NA	NA	NA	act.V	NA	V.subj	Ø	NP-erg subj.V	NA	NA	Ø	V.subj	NP-erg & V.subj	Ø	NA	V.sbj	Ø	Ø	Ø	Ø	Ø
DIG	dug up thing	NA	NA	NA	NA	NA	NA	NA	NA	NA	und.V	NA	Ø	Ø	NP-abs obj.V	NA	NA	Ø	NA	NP-abs & obj.V	Ø	NA	obl-NP	NA	Ø	NA	Ø	jiʔį̀+NP
DRESS	dressee	obj.V	NP-abs V.obj	NP-acc	Ø	NP-abs & absAgr.V	NP-acc	NA	NA	NP-acc	NA	NP-acc	Ø	NA	NA	NA	NA	NP+la	V.obj	NP-abs & obj.V	Ø	NA	V.obj	NA	Ø	NA	fún+NP	NA
DRESS	dresser	subj.V	NP-rel V.subj	V.subj NP-nom	Ø	NP-erg	Ø (NP-nom)	NA	NA	NP-nom V.subj	act.V	NP-nom & V.subj	V.subj	NA	NA	NA	NA	Ø	V.subj	NP-erg & V.subj	Ø	NA	V.sbj	Ø	Ø	NA	Ø	NA
EAT	eaten food	obj.V	NP-abs V.obj	NP-acc	Ø	NP-abs & absAgr.V	NP-acc	NA	NA	NP-acc	und.V	NP-acc	Ø	Ø	NP-abs obj.V	NA	NA	Ø	NA	NP-abs & obj.V	Ø	NA	NA	NP-acc	Ø	NP-acc	Ø	jiʔį̀+NP
EAT	eater	subj.V	NP-rel V.subj	V.subj NP-nom	Ø	NP-erg	Ø (NP-nom)	NA	NA	NP-nom V.subj	act.V	NP-nom & V.subj	V.subj	Ø	NP-erg subj.V	NA	NA	Ø	NA	NP-erg & V.subj	Ø	NA	NA	Ø	Ø	Ø	Ø	Ø
FALL	fallee	subj.V	NA	V.subj NP-nom	NA	NP-abs & absAgr.V	Ø (NP-nom)	NA	NA	NP-nom V.subj	act.V	NA	V.subj	Ø	NP-abs subj.V	NA	NA	Ø	V.subj	NP-abs & V.subj	Ø	NA	V.sbj	Ø	NA	Ø	Ø	NA
FEAR	fear stimulus	obj.V	NP-abs V.obj	NP-acc	Ø	NP-poss	NP-acc	NA	NA	NP-instr	und.V	við+NP-acc	Ø	Ø	NP-abs obj.V	NA	NA	NP+la	V.obj	NP-erg & V.subj	NA	NP-gen	V.obj	NA	Ø	NP-acc	Ø	jiʔį̀+NP
FEAR	fearer	subj.V	NP-rel V.subj	V.subj NP-nom	Ø	NP-abs & absAgr.V	Ø (NP-nom)	NA	NA	NP-nom V.subj	act.V	NP-nom & V.subj	V.subj	Ø	NP-erg subj.V	NA	NA	Ø	V.subj	NP-abs & obj.V	Ø	NP-nom & V.subj	V.sbj	NA	Ø	Ø	Ø	Ø
FEEL COLD	freeze	NA	NA	NA	NA	NA	Ø (NP-nom)	NA	NA	NA	NA	NA	NA	NA	NP-erg subj.V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEEL COLD	freezing person	subj.V	NA	NA	Ø	NP-abs & absAgr.V	Ø (NP-nom)	NA	NA	NP-nom V.subj	und.V	NP-dat	V.subj	NA	NP-abs obj.V	NA	NA	NA	V.subj	NP-abs & obj.V	Ø	NA	V.sbj	NA	Ø	NA	Ø	NA
FEEL PAIN	pain locus	subj.V	NA	min+NP-gen	Ø	NA	Ø (NP-nom)	NA	NA	NP-nom	und.V	í+NP-dat	in/a/su+NP	NA	NA	NA	NA	Ø	NA	NP-erg & V.subj	NA	NA	V.sbj	Ø	Ø	NP-loc	NA	NA
FEEL PAIN	pain-feeler	subj.V	NA	V.subj NP-nom	Ø	NA	NP-acc	NA	NA	NP-gen	und.V	NP-dat	V.subj	Ø	NP-abs subj.V	NA	NA	Ø	NA	NP-abs & obj.V	Ø	NA	V.sbj	NA	NA	Ø	NA	NA
FILL	filled container	obj.V	NP-abs V.obj	NP-acc	Ø	NA	NP-acc	NA	NA	NP-acc	und.V	NP-acc	Ø	ke+NP	NP-loc/-all	NA	NA	Ø	V.obj	NP-abs & obj.V	Ø	NP-acc	V.obj	NP-acc	Ø	NP-acc	NA	NA
FILL	filler	subj.V	NP-rel V.subj	V.subj NP-nom	Ø	NA	Ø (NP-nom)	NA	NA	NP-nom V.subj	act.V	NP-nom & V.subj	V.subj	Ø	NP-erg subj.V	NA	NA	Ø	V.subj	NP-erg & V.subj	Ø	NP-nom & V.subj	V.sbj	Ø	Ø	Ø	NA	NA
FILL	filling material	NA	NP-abm	bi+NP-gen	aji+NP	NA	NP-abl	NA	NA	NP-instr	unmarked NP	af+NP-dat	con+NP	Ø	NP-abs obj.V	NA	NA	NP+la	NP+mew	NP-abl	nla+NP	NP-ins	NA	NP-acc	ngê+NP	NP-instr	NA	NA
